Time,Cloud Cover (%),Pressure_kpa,Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
18/3/2017 0:00,3,1011,14,307,2
18/3/2017 1:00,4,1011,14,215,2
18/3/2017 2:00,4,1011,14,123,1
18/3/2017 3:00,4,1011,14,31,1
18/3/2017 4:00,4,1011,14,138,1
18/3/2017 5:00,5,1012,16,245,2
18/3/2017 6:00,5,1012,16,352,2
18/3/2017 7:00,5,1013,18,320,3
18/3/2017 8:00,5,1013,18,288,3
18/3/2017 9:00,4,1013,20,256,4
18/3/2017 10:00,4,1012,20,263,7
18/3/2017 11:00,4,1011,20,271,10
18/3/2017 12:00,4,1011,20,278,13
18/3/2017 13:00,5,1010,20,280,11
18/3/2017 14:00,5,1010,20,283,10
18/3/2017 15:00,5,1010,18,285,9
18/3/2017 16:00,5,1010,18,284,9
18/3/2017 17:00,5,1010,16,283,8
18/3/2017 18:00,5,1011,14,283,8
18/3/2017 19:00,6,1011,14,288,8
18/3/2017 20:00,6,1011,14,293,7
18/3/2017 21:00,7,1012,12,298,7
18/3/2017 22:00,7,1011,12,317,6
18/3/2017 23:00,7,1011,12,335,5
19/3/2017 0:00,7,1010,12,354,4
19/3/2017 1:00,7,1011,12,250,3
19/3/2017 2:00,6,1011,10,147,3
19/3/2017 3:00,6,1011,10,44,3
19/3/2017 4:00,6,1011,12,36,3
19/3/2017 5:00,5,1012,14,28,3
19/3/2017 6:00,5,1012,16,20,4
19/3/2017 7:00,5,1012,18,109,5
19/3/2017 8:00,5,1012,22,198,6
19/3/2017 9:00,5,1012,24,287,7
19/3/2017 10:00,5,1011,24,286,11
19/3/2017 11:00,5,1010,24,284,14
19/3/2017 12:00,4,1010,24,282,17
19/3/2017 13:00,5,1009,24,285,15
19/3/2017 14:00,5,1009,22,288,14
19/3/2017 15:00,5,1009,22,291,12
19/3/2017 16:00,5,1009,20,283,10
19/3/2017 17:00,4,1010,16,275,9
19/3/2017 18:00,3,1010,14,268,8
19/3/2017 19:00,2,1010,14,256,7
19/3/2017 20:00,1,1011,14,245,7
19/3/2017 21:00,0,1011,12,234,6
19/3/2017 22:00,0,1011,12,254,6
19/3/2017 23:00,0,1010,12,274,7
20/3/2017 0:00,0,1010,12,295,7
20/3/2017 1:00,0,1010,10,202,6
20/3/2017 2:00,0,1010,10,109,5
20/3/2017 3:00,0,1010,10,17,5
20/3/2017 4:00,0,1011,12,23,5
20/3/2017 5:00,0,1011,14,30,5
20/3/2017 6:00,0,1012,16,37,5
20/3/2017 7:00,0,1012,18,120,5
20/3/2017 8:00,0,1012,22,203,5
20/3/2017 9:00,0,1012,24,287,5
20/3/2017 10:00,0,1011,24,280,9
20/3/2017 11:00,0,1011,24,274,13
20/3/2017 12:00,0,1010,26,267,17
20/3/2017 13:00,0,1010,24,261,15
20/3/2017 14:00,0,1010,22,255,13
20/3/2017 15:00,0,1010,20,248,11
20/3/2017 16:00,0,1010,18,245,10
20/3/2017 17:00,0,1011,16,242,8
20/3/2017 18:00,0,1011,14,239,6
20/3/2017 19:00,0,1011,14,229,7
20/3/2017 20:00,0,1011,14,219,7
20/3/2017 21:00,0,1012,12,209,7
20/3/2017 22:00,0,1011,12,216,6
20/3/2017 23:00,0,1011,12,223,5
21/3/2017 0:00,0,1011,12,231,5
21/3/2017 1:00,1,1011,10,202,4
21/3/2017 2:00,2,1011,10,173,3
21/3/2017 3:00,4,1011,10,144,2
21/3/2017 4:00,2,1011,12,143,2
21/3/2017 5:00,1,1012,14,141,3
21/3/2017 6:00,0,1012,16,140,3
21/3/2017 7:00,0,1012,18,176,4
21/3/2017 8:00,0,1012,20,212,6
21/3/2017 9:00,0,1012,24,248,8
21/3/2017 10:00,0,1012,24,251,11
21/3/2017 11:00,0,1011,24,254,15
21/3/2017 12:00,0,1010,24,257,18
21/3/2017 13:00,0,1010,22,254,16
21/3/2017 14:00,0,1010,22,251,15
21/3/2017 15:00,0,1010,20,248,13
21/3/2017 16:00,0,1011,18,243,12
21/3/2017 17:00,0,1011,16,239,11
21/3/2017 18:00,0,1012,14,235,10
21/3/2017 19:00,32,1012,14,226,8
21/3/2017 20:00,63,1012,14,216,7
21/3/2017 21:00,95,1012,14,207,5
21/3/2017 22:00,83,1012,14,201,6
21/3/2017 23:00,72,1011,14,194,6
22/3/2017 0:00,61,1011,12,188,7
22/3/2017 1:00,61,1011,12,178,7
22/3/2017 2:00,61,1010,12,168,7
22/3/2017 3:00,61,1010,12,158,7
22/3/2017 4:00,48,1011,12,161,7
22/3/2017 5:00,34,1011,14,164,7
22/3/2017 6:00,20,1011,14,167,8
22/3/2017 7:00,14,1012,18,193,8
22/3/2017 8:00,7,1012,20,219,8
22/3/2017 9:00,0,1012,22,246,9
22/3/2017 10:00,0,1011,22,251,12
22/3/2017 11:00,0,1010,24,257,15
22/3/2017 12:00,0,1010,24,263,18
22/3/2017 13:00,0,1009,22,260,16
22/3/2017 14:00,0,1009,20,257,14
22/3/2017 15:00,0,1009,20,254,12
22/3/2017 16:00,0,1009,18,245,11
22/3/2017 17:00,0,1010,16,235,10
22/3/2017 18:00,0,1010,14,225,9
22/3/2017 19:00,22,1011,14,208,9
22/3/2017 20:00,45,1011,14,192,8
22/3/2017 21:00,67,1011,12,175,8
22/3/2017 22:00,67,1011,12,180,9
22/3/2017 23:00,67,1010,12,185,10
23/3/2017 0:00,66,1010,12,190,10
23/3/2017 1:00,68,1010,12,184,10
23/3/2017 2:00,70,1010,12,179,9
23/3/2017 3:00,72,1010,12,174,9
23/3/2017 4:00,58,1010,12,169,9
23/3/2017 5:00,44,1010,14,164,9
23/3/2017 6:00,30,1011,14,159,9
23/3/2017 7:00,20,1011,18,183,9
23/3/2017 8:00,10,1011,20,208,8
23/3/2017 9:00,0,1011,22,233,8
23/3/2017 10:00,0,1010,24,243,12
23/3/2017 11:00,0,1010,24,252,15
23/3/2017 12:00,0,1009,24,262,18
23/3/2017 13:00,0,1009,22,270,16
23/3/2017 14:00,0,1009,20,279,14
23/3/2017 15:00,0,1008,20,287,13
23/3/2017 16:00,0,1009,18,287,11
23/3/2017 17:00,0,1010,16,288,9
23/3/2017 18:00,0,1010,14,288,8
23/3/2017 19:00,0,1010,12,285,6
23/3/2017 20:00,0,1011,12,281,5
23/3/2017 21:00,0,1011,12,278,4
23/3/2017 22:00,0,1011,12,281,4
23/3/2017 23:00,0,1010,10,284,5
24/3/2017 0:00,0,1010,10,286,5
24/3/2017 1:00,25,1010,10,304,5
24/3/2017 2:00,51,1010,10,322,5
24/3/2017 3:00,76,1011,10,340,5
24/3/2017 4:00,59,1011,10,344,7
24/3/2017 5:00,43,1012,12,347,9
24/3/2017 6:00,26,1012,14,351,10
24/3/2017 7:00,17,1012,16,338,10
24/3/2017 8:00,9,1012,18,325,11
24/3/2017 9:00,0,1012,22,312,11
24/3/2017 10:00,0,1011,22,308,14
24/3/2017 11:00,0,1011,22,303,17
24/3/2017 12:00,0,1010,24,298,19
24/3/2017 13:00,0,1010,22,302,18
24/3/2017 14:00,0,1010,20,306,16
24/3/2017 15:00,0,1010,20,310,14
24/3/2017 16:00,0,1010,18,310,13
24/3/2017 17:00,0,1010,14,311,12
24/3/2017 18:00,0,1011,12,311,10
24/3/2017 19:00,0,1011,12,311,10
24/3/2017 20:00,0,1011,12,311,9
24/3/2017 21:00,0,1011,10,311,9
24/3/2017 22:00,0,1011,10,316,9
24/3/2017 23:00,0,1011,10,322,9
25/3/2017 0:00,0,1010,8,328,10
25/3/2017 1:00,0,1010,8,219,10
25/3/2017 2:00,0,1010,8,111,9
25/3/2017 3:00,0,1010,8,2,9
25/3/2017 4:00,0,1011,10,4,10
25/3/2017 5:00,0,1011,10,5,10
25/3/2017 6:00,0,1012,12,6,11
25/3/2017 7:00,0,1012,16,118,9
25/3/2017 8:00,0,1012,20,230,8
25/3/2017 9:00,0,1012,24,342,6
25/3/2017 10:00,0,1011,24,325,10
25/3/2017 11:00,0,1010,26,308,14
25/3/2017 12:00,0,1009,26,292,17
25/3/2017 13:00,0,1009,24,302,17
25/3/2017 14:00,0,1009,24,312,17
25/3/2017 15:00,0,1008,22,321,16
25/3/2017 16:00,0,1009,20,325,14
25/3/2017 17:00,0,1009,18,329,13
25/3/2017 18:00,0,1010,16,333,11
25/3/2017 19:00,0,1010,16,330,9
25/3/2017 20:00,0,1011,14,328,8
25/3/2017 21:00,0,1011,14,326,7
25/3/2017 22:00,0,1010,14,330,9
25/3/2017 23:00,0,1010,12,333,10
26/3/2017 0:00,0,1010,12,337,12
26/3/2017 1:00,0,1010,12,344,12
26/3/2017 2:00,0,1010,12,351,12
26/3/2017 3:00,0,1009,10,359,13
26/3/2017 4:00,0,1010,12,242,12
26/3/2017 5:00,0,1010,16,126,12
26/3/2017 6:00,0,1011,18,9,12
26/3/2017 7:00,0,1011,22,113,9
26/3/2017 8:00,0,1011,26,217,7
26/3/2017 9:00,0,1011,30,321,5
26/3/2017 10:00,0,1010,30,311,10
26/3/2017 11:00,0,1009,30,301,14
26/3/2017 12:00,0,1008,30,292,18
26/3/2017 13:00,0,1008,30,300,17
26/3/2017 14:00,0,1007,28,308,16
26/3/2017 15:00,0,1007,26,316,15
26/3/2017 16:00,0,1007,24,320,14
26/3/2017 17:00,0,1008,22,324,13
26/3/2017 18:00,0,1008,20,327,12
26/3/2017 19:00,0,1009,18,219,10
26/3/2017 20:00,0,1009,18,111,8
26/3/2017 21:00,0,1009,16,4,6
26/3/2017 22:00,0,1009,16,109,6
26/3/2017 23:00,0,1009,16,215,7
27/3/2017 0:00,0,1009,14,320,7
27/3/2017 1:00,0,1008,14,231,6
27/3/2017 2:00,0,1008,14,142,5
27/3/2017 3:00,0,1008,12,52,3
27/3/2017 4:00,0,1009,16,82,4
27/3/2017 5:00,0,1010,18,113,5
27/3/2017 6:00,0,1010,20,143,6
27/3/2017 7:00,0,1010,22,186,7
27/3/2017 8:00,0,1010,26,228,8
27/3/2017 9:00,0,1010,28,271,10
27/3/2017 10:00,0,1009,28,279,13
27/3/2017 11:00,0,1008,28,287,16
27/3/2017 12:00,0,1007,28,295,20
27/3/2017 13:00,0,1007,28,301,18
27/3/2017 14:00,0,1007,28,307,16
27/3/2017 15:00,0,1006,28,313,14
27/3/2017 16:00,0,1007,24,319,12
