Time,Load (kW)
2017-03-18 00:00:00,1031471.628
2017-03-18 01:00:00,1007205.578
2017-03-18 02:00:00,986108.4007
2017-03-18 03:00:00,970760.9669
2017-03-18 04:00:00,962258.365
2017-03-18 05:00:00,963847.929
2017-03-18 06:00:00,971662.2228
2017-03-18 07:00:00,998667.4643
2017-03-18 08:00:00,1060601.557
2017-03-18 09:00:00,1141662.51
2017-03-18 10:00:00,1195234.881
2017-03-18 11:00:00,1208175.003
2017-03-18 12:00:00,1216409.319
2017-03-18 13:00:00,1211771.529
2017-03-18 14:00:00,1216184.229
2017-03-18 15:00:00,1210429.867
2017-03-18 16:00:00,1200877.598
2017-03-18 17:00:00,1169031.238
2017-03-18 18:00:00,1150271.29
2017-03-18 19:00:00,1126710.733
2017-03-18 20:00:00,1109004.815
2017-03-18 21:00:00,1095988.835
2017-03-18 22:00:00,1075547.204
2017-03-18 23:00:00,1049039.526
2017-03-19 00:00:00,1021744.294
2017-03-19 01:00:00,999585.8826
2017-03-19 02:00:00,977538.6448
2017-03-19 03:00:00,966271.969
2017-03-19 04:00:00,957773.5011
2017-03-19 05:00:00,956473.4691
2017-03-19 06:00:00,941449.4733
2017-03-19 07:00:00,935907.8093
2017-03-19 08:00:00,960497.5669
2017-03-19 09:00:00,987858.2006
2017-03-19 10:00:00,1012382.688
2017-03-19 11:00:00,1029778.864
2017-03-19 12:00:00,1034794.902
2017-03-19 13:00:00,1026072.756
2017-03-19 14:00:00,1026203.916
2017-03-19 15:00:00,1025117.762
2017-03-19 16:00:00,1019965.67
2017-03-19 17:00:00,1014069.372
2017-03-19 18:00:00,1016996.68
2017-03-19 19:00:00,1032056.242
2017-03-19 20:00:00,1032000.936
2017-03-19 21:00:00,1025865.786
2017-03-19 22:00:00,1016097.464
2017-03-19 23:00:00,1005315.689
2017-03-20 00:00:00,987190.0188
2017-03-20 01:00:00,967204.1311
2017-03-20 02:00:00,950232.0453
2017-03-20 03:00:00,940618.2034
2017-03-20 04:00:00,938838.0915
2017-03-20 05:00:00,945081.5454
2017-03-20 06:00:00,973593.4149
2017-03-20 07:00:00,1039951.764
2017-03-20 08:00:00,1155230.234
2017-03-20 09:00:00,1275774.738
2017-03-20 10:00:00,1333642.533
2017-03-20 11:00:00,1344260.485
2017-03-20 12:00:00,1337270.305
2017-03-20 13:00:00,1321022.665
2017-03-20 14:00:00,1325809.013
2017-03-20 15:00:00,1322490.787
2017-03-20 16:00:00,1321726.565
2017-03-20 17:00:00,1289828.914
2017-03-20 18:00:00,1238524.579
2017-03-20 19:00:00,1194435.468
2017-03-20 20:00:00,1151563.632
2017-03-20 21:00:00,1116035.555
2017-03-20 22:00:00,1091370.076
2017-03-20 23:00:00,1061752.066
2017-03-21 00:00:00,1032739.17
2017-03-21 01:00:00,1003462.017
2017-03-21 02:00:00,986411.581
2017-03-21 03:00:00,975442.3692
2017-03-21 04:00:00,971071.4814
2017-03-21 05:00:00,973178.1793
2017-03-21 06:00:00,990731.261
2017-03-21 07:00:00,1044374.834
2017-03-21 08:00:00,1148047.444
2017-03-21 09:00:00,1249571.117
2017-03-21 10:00:00,1306543.898
2017-03-21 11:00:00,1322956.702
2017-03-21 12:00:00,1324423.42
2017-03-21 13:00:00,1315972.684
2017-03-21 14:00:00,1322229.604
2017-03-21 15:00:00,1318455.264
2017-03-21 16:00:00,1309046.668
2017-03-21 17:00:00,1281501.154
2017-03-21 18:00:00,1235780.995
2017-03-21 19:00:00,1194239.054
2017-03-21 20:00:00,1150312.307
2017-03-21 21:00:00,1119503.797
2017-03-21 22:00:00,1095905.874
2017-03-21 23:00:00,1063608.052
2017-03-22 00:00:00,1034120.711
2017-03-22 01:00:00,1009530.609
2017-03-22 02:00:00,991893.1011
2017-03-22 03:00:00,982028.0272
2017-03-22 04:00:00,976406.4193
2017-03-22 05:00:00,975886.7013
2017-03-22 06:00:00,989562.015
2017-03-22 07:00:00,1049173.358
2017-03-22 08:00:00,1163011.56
2017-03-22 09:00:00,1271671.528
2017-03-22 10:00:00,1325304.681
2017-03-22 11:00:00,1339035.259
2017-03-22 12:00:00,1346214.575
2017-03-22 13:00:00,1340341.107
2017-03-22 14:00:00,1348007.815
2017-03-22 15:00:00,1320913.719
2017-03-22 16:00:00,1316589.917
2017-03-22 17:00:00,1283933.798
2017-03-22 18:00:00,1240706.309
2017-03-22 19:00:00,1208599.776
2017-03-22 20:00:00,1163237.942
2017-03-22 21:00:00,1130689.799
2017-03-22 22:00:00,1108793.149
2017-03-22 23:00:00,1078661.094
2017-03-23 00:00:00,1046058.616
2017-03-23 01:00:00,1019645.983
2017-03-23 02:00:00,1001757.361
2017-03-23 03:00:00,989690.3052
2017-03-23 04:00:00,978765.4572
2017-03-23 05:00:00,981291.8312
2017-03-23 06:00:00,1003035.897
2017-03-23 07:00:00,1061943.79
2017-03-23 08:00:00,1176735.974
2017-03-23 09:00:00,1283327.528
2017-03-23 10:00:00,1330669.101
2017-03-23 11:00:00,1343089.241
2017-03-23 12:00:00,1350603.047
2017-03-23 13:00:00,1342173.801
2017-03-23 14:00:00,1356139.321
2017-03-23 15:00:00,1350174.669
2017-03-23 16:00:00,1341647.843
2017-03-23 17:00:00,1306785.594
2017-03-23 18:00:00,1250881.605
2017-03-23 19:00:00,1208115.562
2017-03-23 20:00:00,1174643.957
2017-03-23 21:00:00,1144363.871
2017-03-23 22:00:00,1115131.742
2017-03-23 23:00:00,1084232.324
2017-03-24 00:00:00,1054376.284
2017-03-24 01:00:00,1027063.053
2017-03-24 02:00:00,1008183.727
2017-03-24 03:00:00,995523.5293
2017-03-24 04:00:00,987648.4313
2017-03-24 05:00:00,990423.7612
2017-03-24 06:00:00,1006821.661
2017-03-24 07:00:00,1066259.172
2017-03-24 08:00:00,1183252.94
2017-03-24 09:00:00,1285285.078
2017-03-24 10:00:00,1336330.186
2017-03-24 11:00:00,1355594.199
2017-03-24 12:00:00,1354636.083
2017-03-24 13:00:00,1347522.757
2017-03-24 14:00:00,1361669.729
2017-03-24 15:00:00,1350561.168
2017-03-24 16:00:00,1336593.95
2017-03-24 17:00:00,1301632.685
2017-03-24 18:00:00,1252530.739
2017-03-24 19:00:00,1204006.356
2017-03-24 20:00:00,1161485.191
2017-03-24 21:00:00,1133962.443
2017-03-24 22:00:00,1104562.678
2017-03-24 23:00:00,1064298.248
2017-03-25 00:00:00,1031410.213
2017-03-25 01:00:00,1012118.565
2017-03-25 02:00:00,994928.0752
2017-03-25 03:00:00,982095.9254
2017-03-25 04:00:00,978078.6556
2017-03-25 05:00:00,976045.8616
2017-03-25 06:00:00,981316.7155
2017-03-25 07:00:00,1005723.203
2017-03-25 08:00:00,1063293.04
2017-03-25 09:00:00,1130433.409
2017-03-25 10:00:00,1178005.157
2017-03-25 11:00:00,1193739.727
2017-03-25 12:00:00,1194247.771
2017-03-25 13:00:00,1189648.081
2017-03-25 14:00:00,1197709.297
2017-03-25 15:00:00,1197288.789
2017-03-25 16:00:00,1188867.021
2017-03-25 17:00:00,1169657.421
2017-03-25 18:00:00,1147334.775
2017-03-25 19:00:00,1134473.151
2017-03-25 20:00:00,1115481.71
2017-03-25 21:00:00,1103437.638
2017-03-25 22:00:00,1092939.76
2017-03-25 23:00:00,1072920.112
2017-03-26 00:00:00,1050074.439
2017-03-26 01:00:00,1027058.521
2017-03-26 02:00:00,1011024.609
2017-03-26 03:00:00,998181.0394
2017-03-26 04:00:00,994106.3375
2017-03-26 05:00:00,989417.7215
2017-03-26 06:00:00,980170.8736
2017-03-26 07:00:00,979472.1996
2017-03-26 08:00:00,1000021.095
2017-03-26 09:00:00,1028975.217
2017-03-26 10:00:00,1054692.345
2017-03-26 11:00:00,1071296.96
2017-03-26 12:00:00,1080229.958
2017-03-26 13:00:00,1083458.508
2017-03-26 14:00:00,1091820.59
2017-03-26 15:00:00,1091522.42
2017-03-26 16:00:00,1087754.584
2017-03-26 17:00:00,1047038.878
2017-03-26 18:00:00,1056974.75
2017-03-26 19:00:00,1057136.576
2017-03-26 20:00:00,1049966.482
2017-03-26 21:00:00,1053597.226
2017-03-26 22:00:00,1047808.208
2017-03-26 23:00:00,1033327.264
2017-03-27 00:00:00,1016170.947
2017-03-27 01:00:00,994647.313
2017-03-27 02:00:00,976173.6512
2017-03-27 03:00:00,954407.8333
2017-03-27 04:00:00,948634.8594
2017-03-27 05:00:00,958369.0472
2017-03-27 06:00:00,988560.1608
2017-03-27 07:00:00,1055779.076
2017-03-27 08:00:00,1178547.595
2017-03-27 09:00:00,1290303.928
2017-03-27 10:00:00,1352383.447
2017-03-27 11:00:00,1368326.039
2017-03-27 12:00:00,1369735.493
2017-03-27 13:00:00,1380218.549
2017-03-27 14:00:00,1392788.133
2017-03-27 15:00:00,1387750.097
2017-03-27 16:00:00,1369111.199
2017-03-27 17:00:00,1322572.657
2017-03-27 18:00:00,1270255.002
2017-03-27 19:00:00,1223320.409
2017-03-27 20:00:00,1178197.242
2017-03-27 21:00:00,1152145.912
2017-03-27 22:00:00,1130012.617
2017-03-27 23:00:00,1102936.551
2017-03-28 00:00:00,1070296.846
2017-03-28 01:00:00,1046821.578
2017-03-28 02:00:00,1025189.51
2017-03-28 03:00:00,1007974.881
2017-03-28 04:00:00,1002856.931
2017-03-28 05:00:00,1008084.091
2017-03-28 06:00:00,1024926.972
2017-03-28 07:00:00,1087711.233
2017-03-28 08:00:00,1199602.961
2017-03-28 09:00:00,1313529.862
2017-03-28 10:00:00,1369282.861
2017-03-28 11:00:00,1386651.585
2017-03-28 12:00:00,1396367.719
2017-03-28 13:00:00,1402109.723
2017-03-28 14:00:00,1419028.606
2017-03-28 15:00:00,1412253.642
2017-03-28 16:00:00,1403675.919
2017-03-28 17:00:00,1360045.259
2017-03-28 18:00:00,1301910.286
2017-03-28 19:00:00,1250314.349
2017-03-28 20:00:00,1199171.594
2017-03-28 21:00:00,1163029.462
2017-03-28 22:00:00,1137169.205
2017-03-28 23:00:00,1112686.307
2017-03-29 00:00:00,1083962.64
2017-03-29 01:00:00,1060406.99
2017-03-29 02:00:00,1035210.954
2017-03-29 03:00:00,1020046.164
2017-03-29 04:00:00,1010926.37
2017-03-29 05:00:00,1017226.104
2017-03-29 06:00:00,1036764.74
2017-03-29 07:00:00,1096427.077
2017-03-29 08:00:00,1212142.579
2017-03-29 09:00:00,1326286.433
2017-03-29 10:00:00,1390697.905
2017-03-29 11:00:00,1408652.331
2017-03-29 12:00:00,1414462.017
2017-03-29 13:00:00,1412418.031
2017-03-29 14:00:00,1420620.604
2017-03-29 15:00:00,1417021.462
2017-03-29 16:00:00,1405805.087
2017-03-29 17:00:00,1363202.685
2017-03-29 18:00:00,1294050.988
2017-03-29 19:00:00,1248889.203
2017-03-29 20:00:00,1203877.114
2017-03-29 21:00:00,1171203.696
2017-03-29 22:00:00,1142412.837
2017-03-29 23:00:00,1109897.627
2017-03-30 00:00:00,1076743.542
2017-03-30 01:00:00,1046330.474
2017-03-30 02:00:00,1027613.404
2017-03-30 03:00:00,1013419.939
2017-03-30 04:00:00,1007275.643
2017-03-30 05:00:00,1008668.089
2017-03-30 06:00:00,1026979.346
2017-03-30 07:00:00,1090908.765
2017-03-30 08:00:00,1210200.821
2017-03-30 09:00:00,1328125.239
2017-03-30 10:00:00,1382738.467
2017-03-30 11:00:00,1401891.359
2017-03-30 12:00:00,1407427.661
2017-03-30 13:00:00,1405866.655
2017-03-30 14:00:00,1432481.68
2017-03-30 15:00:00,1448375.904
2017-03-30 16:00:00,1434584.704
2017-03-30 17:00:00,1388060.57
2017-03-30 18:00:00,1325708.975
2017-03-30 19:00:00,1276369.014
2017-03-30 20:00:00,1235462.327
2017-03-30 21:00:00,1201148.702
2017-03-30 22:00:00,1176087.54
2017-03-30 23:00:00,1143236.283
2017-03-31 00:00:00,1110647.283
2017-03-31 01:00:00,1083367.194
2017-03-31 02:00:00,1061000.618
2017-03-31 03:00:00,1045953.924
2017-03-31 04:00:00,1035614.278
2017-03-31 05:00:00,1039029.13
2017-03-31 06:00:00,1036307.218
2017-03-31 07:00:00,1066443.62
2017-03-31 08:00:00,1145364.69
2017-03-31 09:00:00,1231883.161
2017-03-31 10:00:00,1276904.91
2017-03-31 11:00:00,1290822.08
2017-03-31 12:00:00,1303510.317
2017-03-31 13:00:00,1302128.628
2017-03-31 14:00:00,1308258.903
2017-03-31 15:00:00,1302376.572
2017-03-31 16:00:00,1296811.34
2017-03-31 17:00:00,1267664.516
2017-03-31 18:00:00,1237103.465
2017-03-31 19:00:00,1212379.892
2017-03-31 20:00:00,1184447.562
2017-03-31 21:00:00,1156813.326
2017-03-31 22:00:00,1133205.993
2017-03-31 23:00:00,1105239.125
2017-04-01 00:00:00,1081834.45
2017-04-01 01:00:00,1059999.368
2017-04-01 02:00:00,1037776.432
2017-04-01 03:00:00,1023418.608
2017-04-01 04:00:00,1017838.768
2017-04-01 05:00:00,1011748.412
2017-04-01 06:00:00,1005692.906
