Time,Load (kW),hour,dayofweek,quarter,month,year
2017-03-18 00:00:00,1031471.628,0,5,1,3,2017
2017-03-18 01:00:00,1007205.578,1,5,1,3,2017
2017-03-18 02:00:00,986108.4007,2,5,1,3,2017
2017-03-18 03:00:00,970760.9669,3,5,1,3,2017
2017-03-18 04:00:00,962258.365,4,5,1,3,2017
2017-03-18 05:00:00,963847.929,5,5,1,3,2017
2017-03-18 06:00:00,971662.2228,6,5,1,3,2017
2017-03-18 07:00:00,998667.4643,7,5,1,3,2017
2017-03-18 08:00:00,1060601.557,8,5,1,3,2017
2017-03-18 09:00:00,1141662.51,9,5,1,3,2017
2017-03-18 10:00:00,1195234.881,10,5,1,3,2017
2017-03-18 11:00:00,1208175.003,11,5,1,3,2017
2017-03-18 12:00:00,1216409.319,12,5,1,3,2017
2017-03-18 13:00:00,1211771.529,13,5,1,3,2017
2017-03-18 14:00:00,1216184.229,14,5,1,3,2017
2017-03-18 15:00:00,1210429.867,15,5,1,3,2017
2017-03-18 16:00:00,1200877.598,16,5,1,3,2017
2017-03-18 17:00:00,1169031.238,17,5,1,3,2017
2017-03-18 18:00:00,1150271.29,18,5,1,3,2017
2017-03-18 19:00:00,1126710.733,19,5,1,3,2017
2017-03-18 20:00:00,1109004.815,20,5,1,3,2017
2017-03-18 21:00:00,1095988.835,21,5,1,3,2017
2017-03-18 22:00:00,1075547.204,22,5,1,3,2017
2017-03-18 23:00:00,1049039.526,23,5,1,3,2017
2017-03-19 00:00:00,1021744.294,0,6,1,3,2017
2017-03-19 01:00:00,999585.8826,1,6,1,3,2017
2017-03-19 02:00:00,977538.6448,2,6,1,3,2017
2017-03-19 03:00:00,966271.969,3,6,1,3,2017
2017-03-19 04:00:00,957773.5011,4,6,1,3,2017
2017-03-19 05:00:00,956473.4691,5,6,1,3,2017
2017-03-19 06:00:00,941449.4733,6,6,1,3,2017
2017-03-19 07:00:00,935907.8093,7,6,1,3,2017
2017-03-19 08:00:00,960497.5669,8,6,1,3,2017
2017-03-19 09:00:00,987858.2006,9,6,1,3,2017
2017-03-19 10:00:00,1012382.688,10,6,1,3,2017
2017-03-19 11:00:00,1029778.864,11,6,1,3,2017
2017-03-19 12:00:00,1034794.902,12,6,1,3,2017
2017-03-19 13:00:00,1026072.756,13,6,1,3,2017
2017-03-19 14:00:00,1026203.916,14,6,1,3,2017
2017-03-19 15:00:00,1025117.762,15,6,1,3,2017
2017-03-19 16:00:00,1019965.67,16,6,1,3,2017
2017-03-19 17:00:00,1014069.372,17,6,1,3,2017
2017-03-19 18:00:00,1016996.68,18,6,1,3,2017
2017-03-19 19:00:00,1032056.242,19,6,1,3,2017
2017-03-19 20:00:00,1032000.936,20,6,1,3,2017
2017-03-19 21:00:00,1025865.786,21,6,1,3,2017
2017-03-19 22:00:00,1016097.464,22,6,1,3,2017
2017-03-19 23:00:00,1005315.689,23,6,1,3,2017
2017-03-20 00:00:00,987190.0188,0,0,1,3,2017
2017-03-20 01:00:00,967204.1311,1,0,1,3,2017
2017-03-20 02:00:00,950232.0453,2,0,1,3,2017
2017-03-20 03:00:00,940618.2034,3,0,1,3,2017
