Time,resid
2017-09-16,-54877.004468723986
2017-09-17,-105515.58979813787
2017-09-18,11875.113387421392
2017-09-19,10224.021435226154
2017-09-20,19127.04092475414
2017-09-21,44382.67075246696
2017-09-22,91438.45294999339
2017-09-23,7449.7192320178665
2017-09-24,-82358.90486510533
2017-09-25,-33557.865448354976
2017-09-26,-37969.99783858347
2017-09-27,-37367.098590485984
2017-09-28,-3433.0512977155595
2017-09-29,55443.64102869247
2017-09-30,-19530.59510513543
2017-10-01,-132762.3775353868
2017-10-02,-30758.528711200925
2017-10-03,-23349.03902688592
2017-10-04,12094.846086766876
2017-10-05,-65166.63089314189
2017-10-06,-23692.000483857162
2017-10-07,-16820.113908400686
2017-10-08,-120494.93226022716
2017-10-09,-34896.51727496064
2017-10-10,-38757.262566947
2017-10-11,-38321.08193338539
2017-10-12,13550.159818098407
2017-10-13,73053.58167928588
2017-10-14,45038.37384557203
2017-10-15,-70816.34123526933
2017-10-16,-13216.173573530592
2017-10-17,-22313.405466452947
2017-10-18,-27291.31887794395
2017-10-19,1813.4639487760069
2017-10-20,55732.255684810836
2017-10-21,-22716.221732890783
2017-10-22,-129920.64651005196
2017-10-23,-17310.5534476471
2017-10-24,35668.988653106295
2017-10-25,33639.73020146228
2017-10-26,54558.89191383294
2017-10-27,93493.6460786922
2017-10-28,262.37570804170537
2017-10-29,-109313.13023720581
2017-10-30,-35118.77659060403
2017-10-31,-24906.21009508265
2017-11-01,-33213.49725775398
2017-11-02,-13115.679689260753
2017-11-03,45502.1492852255
2017-11-04,-615.3925466429282
2017-11-05,-117503.86848689392
2017-11-06,-39992.89998729349
2017-11-07,-22174.035313282868
2017-11-08,-36507.49148417327
2017-11-09,-13870.162624945482
2017-11-10,37985.71944358556
2017-11-11,-27088.59130553929
2017-11-12,-124124.15293940515
2017-11-13,-37559.2407188383
2017-11-14,-23789.503769580202
2017-11-15,-27021.18694751012
2017-11-16,-6795.913506281026
2017-11-17,26748.034178402966
2017-11-18,-15627.604658849617
2017-11-19,-113548.28015687077
2017-11-20,-28437.956059663797
2017-11-21,-48410.252513876345
2017-11-22,-38694.5996689372
2017-11-23,-13392.110486642778
2017-11-24,53220.619696062786
2017-11-25,-9282.123986551509
2017-11-26,-100286.79473935976
2017-11-27,-19867.24112011322
2017-11-28,-19258.50415591997
2017-11-29,-19667.0720799227
2017-11-30,6973.7746473070365
2017-12-01,50309.53972126453
