Time,trend
2017-04-02,1169504.4926984028
2017-04-03,1172098.538313889
2017-04-04,1176536.051727917
2017-04-05,1178197.5395818055
2017-04-06,1179786.6514769443
2017-04-07,1179936.3512447916
2017-04-08,1176625.5065891666
2017-04-09,1175497.519505625
2017-04-10,1179181.1773133334
2017-04-11,1180912.5659295137
2017-04-12,1180417.2809184028
2017-04-13,1180270.7631840971
2017-04-14,1178206.1292132637
2017-04-15,1174023.776171042
2017-04-16,1172733.917961875
2017-04-17,1176532.982345972
2017-04-18,1179210.9425440973
2017-04-19,1178626.6152400002
2017-04-20,1177802.023617778
2017-04-21,1175774.2418920835
2017-04-22,1170980.5815417361
2017-04-23,1169032.8033643055
2017-04-24,1173605.769803264
2017-04-25,1177668.6575166667
2017-04-26,1178950.425734861
2017-04-27,1179967.7083494444
2017-04-28,1179273.5734029165
2017-04-29,1175700.709370972
2017-04-30,1175005.1675515277
2017-05-01,1180120.5967244443
2017-05-02,1187136.3733299999
2017-05-03,1191532.0531475695
2017-05-04,1193025.0225216667
2017-05-05,1193107.003638403
2017-05-06,1189966.1491658336
2017-05-07,1189304.6778999309
2017-05-08,1194983.3006295837
2017-05-09,1199634.1587450001
2017-05-10,1201026.8384408336
2017-05-11,1202451.496840764
2017-05-12,1201651.4313390278
2017-05-13,1197009.7607427086
2017-05-14,1195297.4375059027
2017-05-15,1199121.117010417
2017-05-16,1201712.7993195138
2017-05-17,1202844.0621397225
2017-05-18,1205017.3077869446
2017-05-19,1206422.7788556945
2017-05-20,1205513.0614306943
2017-05-21,1206895.7967584725
2017-05-22,1213341.109297014
2017-05-23,1217181.7501543055
2017-05-24,1216675.4257209722
2017-05-25,1215914.3951980553
2017-05-26,1213932.09593625
2017-05-27,1208733.3812584719
2017-05-28,1204529.712022708
2017-05-29,1205808.6568577776
2017-05-30,1206901.498813333
2017-05-31,1205191.5380820832
2017-06-01,1203806.975639722
2017-06-02,1201248.6610181944
2017-06-03,1195691.6431009027
2017-06-04,1192881.7295531246
2017-06-05,1196013.5102474303
2017-06-06,1197977.317531944
2017-06-07,1197068.904956944
2017-06-08,1196374.095142361
2017-06-09,1195033.13976875
2017-06-10,1191354.237580486
2017-06-11,1190760.5403174306
2017-06-12,1196170.8418334725
2017-06-13,1200358.821095278
2017-06-14,1201567.360051736
2017-06-15,1201942.7555198611
2017-06-16,1199041.6589629166
2017-06-17,1192141.430347986
2017-06-18,1186888.734940764
2017-06-19,1185874.7334783333
2017-06-20,1183244.607370625
2017-06-21,1178702.7757858334
2017-06-22,1176052.0635149304
2017-06-23,1173282.1229668052
2017-06-24,1167996.907126805
2017-06-25,1165362.7200970137
2017-06-26,1168765.7159543056
2017-06-27,1172828.1861810414
2017-06-28,1174188.053077847
2017-06-29,1174233.5438985417
2017-06-30,1172990.626487986
2017-07-01,1168443.1385078472
2017-07-02,1165761.6532742362
2017-07-03,1168859.938747986
2017-07-04,1171234.4622281946
2017-07-05,1170695.1551834722
2017-07-06,1170253.0119098611
2017-07-07,1168848.4195825004
2017-07-08,1164660.979098889
2017-07-09,1162157.5563846526
2017-07-10,1165225.238609861
2017-07-11,1167616.7312441666
2017-07-12,1166914.1160566667
2017-07-13,1166341.9232177776
2017-07-14,1164693.8901480555
2017-07-15,1160667.3153665278
2017-07-16,1158982.0869809028
2017-07-17,1159694.4967191666
2017-07-18,1159829.5200461803
2017-07-19,1160703.5647322915
2017-07-20,1162449.0135222913
2017-07-21,1162561.088085972
2017-07-22,1158703.9654784026
2017-07-23,1156388.3235539582
2017-07-24,1159128.5071697915
2017-07-25,1161237.0591250695
2017-07-26,1160836.530108403
2017-07-27,1157795.3673697915
2017-07-28,1152962.5651287497
2017-07-29,1148181.3962976385
2017-07-30,1146306.85551368
2017-07-31,1148892.7837386804
2017-08-01,1149298.1097806944
2017-08-02,1147659.2577089584
2017-08-03,1147100.9245339578
2017-08-04,1145515.1625381943
2017-08-05,1141233.3277001386
2017-08-06,1139279.648414236
2017-08-07,1142296.0766590277
2017-08-08,1145159.179814236
2017-08-09,1146259.122269861
2017-08-10,1146952.2818177775
2017-08-11,1146394.64739
2017-08-12,1142687.9056354857
2017-08-13,1141824.989657986
2017-08-14,1147010.5520905554
2017-08-15,1151350.3679431248
2017-08-16,1156176.0952825693
2017-08-17,1160349.618151111
2017-08-18,1159749.7234179862
2017-08-19,1155695.6284397221
2017-08-20,1153763.5566950694
2017-08-21,1157533.88468625
2017-08-22,1159424.898468889
2017-08-23,1158251.2764493057
2017-08-24,1157162.7472168752
2017-08-25,1154867.9747629166
2017-08-26,1152591.2659684033
2017-08-27,1152985.7324586809
2017-08-28,1155982.9480188196
2017-08-29,1158235.3316593054
2017-08-30,1160216.4102588885
2017-08-31,1164275.365641458
2017-09-01,1165057.8039247915
2017-09-02,1161757.0698902777
2017-09-03,1160238.3969918054
2017-09-04,1164238.8683194444
2017-09-05,1169154.1778952084
2017-09-06,1171959.350345139
2017-09-07,1174463.5129618056
2017-09-08,1174306.749534722
2017-09-09,1170296.5141140276
2017-09-10,1168076.21653125
2017-09-11,1171289.470832431
2017-09-12,1172932.0791086806
2017-09-13,1171450.7732204169
2017-09-14,1170470.971543889
2017-09-15,1168344.0065637499
2017-09-16,1164053.886960764
2017-09-17,1163205.4658228473
2017-09-18,1168667.0529791669
2017-09-19,1173512.2010546532
2017-09-20,1173212.3544669447
2017-09-21,1171886.876897847
2017-09-22,1170574.8421952778
2017-09-23,1167995.8409704864
2017-09-24,1168492.1215822226
2017-09-25,1173324.948465486
2017-09-26,1177215.2749371529
2017-09-27,1178835.4517398614
2017-09-28,1179797.2752022222
2017-09-29,1178256.4605258333
2017-09-30,1173621.404301736
2017-10-01,1172834.0443512502
2017-10-02,1176986.807722778
2017-10-03,1180177.3729544447
2017-10-04,1180206.6009386806
2017-10-05,1178086.8001697224
2017-10-06,1174745.3858683333
2017-10-07,1168876.344510625
2017-10-08,1165936.789292153
2017-10-09,1169109.8283243058
2017-10-10,1171734.420655
2017-10-11,1171858.8330062497
2017-10-12,1172156.779239722
2017-10-13,1170949.58275118
2017-10-14,1166348.4321155553
2017-10-15,1163401.7858222914
2017-10-16,1165366.9550801388
2017-10-17,1166078.466163611
2017-10-18,1163458.7686387503
2017-10-19,1160616.0648486807
2017-10-20,1159654.169995556
2017-10-21,1158719.2835594446
2017-10-22,1158893.9154943055
2017-10-23,1162017.3661245834
2017-10-24,1163214.4688124307
2017-10-25,1162144.0393933335
2017-10-26,1160621.9084069445
2017-10-27,1157575.8559521527
2017-10-28,1152114.5461155556
2017-10-29,1148855.7501800694
2017-10-30,1150589.3354066669
2017-10-31,1151471.4880768058
2017-11-01,1149978.3104535418
2017-11-02,1148168.342698403
2017-11-03,1145337.1250596528
2017-11-04,1140298.3104635417
2017-11-05,1137411.3522227777
2017-11-06,1139255.1338625695
2017-11-07,1139630.9126683336
2017-11-08,1137207.5281484723
2017-11-09,1134692.8560136806
2017-11-10,1131395.412956667
2017-11-11,1126085.7419625001
2017-11-12,1123067.0961206944
2017-11-13,1125099.3071209027
2017-11-14,1126487.8498738194
2017-11-15,1125340.5843350694
2017-11-16,1124082.8510509029
2017-11-17,1121976.3603090975
2017-11-18,1117551.2199339585
2017-11-19,1114703.2222125
2017-11-20,1116597.1653766667
2017-11-21,1117894.955696528
2017-11-22,1116494.7082890975
2017-11-23,1114636.3570874305
2017-11-24,1111489.724202153
2017-11-25,1106319.461080764
2017-11-26,1101696.9499214585
2017-11-27,1101470.0835542362
2017-11-28,1102152.5952438195
2017-11-29,1100045.9240179863
2017-11-30,1096986.4258733334
2017-12-01,1093096.3885944446
2017-12-02,1087859.2229654165
2017-12-03,1083526.0764554166
2017-12-04,1082936.516259375
2017-12-05,1081822.828828403
2017-12-06,1078943.547813125
2017-12-07,1077224.0834240278
2017-12-08,1075319.648817361
2017-12-09,1071412.2037193056
2017-12-10,1068771.4915185417
2017-12-11,1070388.0265569445
2017-12-12,1071631.454075625
2017-12-13,1071150.7870604862
2017-12-14,1071151.5983968056
2017-12-15,1070390.8288519445
2017-12-16,1066782.0440106252
2017-12-17,1064789.045091667
2017-12-18,1067755.531747639
2017-12-19,1070292.2606784722
2017-12-20,1070389.672274514
2017-12-21,1070224.2631738195
2017-12-22,1069054.49818875
2017-12-23,1065622.5366218751
2017-12-24,1064636.062011042
2017-12-25,1068580.0055828472
2017-12-26,1073248.7021216666
2017-12-27,1075653.006374375
2017-12-28,1074152.7297446528
2017-12-29,1071622.9206033335
2017-12-30,1069790.5613976389
2017-12-31,1070403.876645
2018-01-01,1075442.6500395832
2018-01-02,1080754.9935267363
2018-01-03,1083785.8305957639
2018-01-04,1086274.6503259721
