Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
2021-01-03 00:00:00,0.214307807,0.817443308,0.13,0.7,0.281466417,0.051398601,0.031872456
2021-01-03 01:00:00,0.202169793,0.81519635,0.095,0.73625,0.288501704,0.067132867,0.029727588
2021-01-03 02:00:00,0.187661172,0.809838219,0.10125,0.70625,0.285093987,0.088461538,0.024727452
2021-01-03 03:00:00,0.173567834,0.807591261,0.1425,0.68,0.278113664,0.071678322,0.029672942
2021-01-03 04:00:00,0.164537542,0.804825774,0.1725,0.70625,0.25052215,0.066433566,0.032910735
2021-01-03 05:00:00,0.167459668,0.805517146,0.1475,0.71,0.242882269,0.086013986,0.028019891
2021-01-03 06:00:00,0.175028239,0.811048119,0.12625,0.71,0.242497527,0.09020979,0.027186535
2021-01-03 07:00:00,0.179999803,0.821418695,0.08,0.71,0.249257997,0.061888112,0.026517118
2021-01-03 08:00:00,0.208225967,0.832307799,0.04625,0.72,0.284049687,0.038811189,0.02592967
2021-01-03 09:00:00,0.245788456,0.840431416,0.1275,0.6775,0.360338573,0.382517483,0.007582174
2021-01-03 10:00:00,0.279359346,0.843369746,0.155,0.58375,0.428767726,0.715034965,0.078267166
2021-01-03 11:00:00,0.297823369,0.839221515,0.17625,0.45875,0.510003298,0.794755245,0.063266756
2021-01-03 12:00:00,0.295003912,0.826776825,0.30125,0.48125,0.547982852,0.755244755,0.13882893
2021-01-03 13:00:00,0.288090187,0.812603706,0.4125,0.5125,0.545509509,0.733216783,0.203284243
2021-01-03 14:00:00,0.282848128,0.803615874,0.475,0.4625,0.558151039,0.747902098,0.202109347
2021-01-03 15:00:00,0.278472836,0.802060288,0.41375,0.4475,0.547378257,0.762587413,0.181384737
2021-01-03 16:00:00,0.273724381,0.802751659,0.41375,0.445,0.536935253,0.769230769,0.161862346
2021-01-03 17:00:00,0.270854905,0.808628319,0.43,0.45875,0.519402001,0.766783217,0.160755758
2021-01-03 18:00:00,0.285589267,0.818826051,0.31,0.55375,0.469055733,0.773776224,0.127667423
