Time,Cloud Cover (%),Pressure_kpa,Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
2021-01-03 00:00:00,0.09,0.821418695,0.266901176,0.956643357,0.098363343
2021-01-03 01:00:00,0.09,0.807591261,0.310871716,0.962237762,0.098363343
2021-01-03 02:00:00,0.09,0.807591261,0.354842256,0.965034965,0.109292604
2021-01-03 03:00:00,0.09,0.807591261,0.398812795,0.970629371,0.109292604
2021-01-03 04:00:00,0.09,0.807591261,0.398812795,0.872727273,0.109292604
2021-01-03 05:00:00,0.09,0.807591261,0.398812795,0.772027972,0.098363343
2021-01-03 06:00:00,0.09,0.807591261,0.398812795,0.674125874,0.098363343
2021-01-03 07:00:00,0.1,0.821418695,0.398812795,0.556643357,0.087434083
2021-01-03 08:00:00,0.1,0.821418695,0.442783335,0.439160839,0.076504823
2021-01-03 09:00:00,0.11,0.835246128,0.442783335,0.321678322,0.065575562
2021-01-03 10:00:00,0.12,0.835246128,0.442783335,0.503496503,0.076504823
2021-01-03 11:00:00,0.13,0.821418695,0.486753875,0.685314685,0.076504823
2021-01-03 12:00:00,0.15,0.821418695,0.486753875,0.867132867,0.087434083
2021-01-03 13:00:00,0.15,0.821418695,0.486753875,0.841958042,0.109292604
2021-01-03 14:00:00,0.15,0.807591261,0.486753875,0.816783217,0.131151124
2021-01-03 15:00:00,0.16,0.807591261,0.486753875,0.794405594,0.142080385
2021-01-03 16:00:00,0.15,0.807591261,0.486753875,0.802797203,0.142080385
2021-01-03 17:00:00,0.14,0.807591261,0.486753875,0.811188811,0.131151124
2021-01-03 18:00:00,0.13,0.807591261,0.442783335,0.822377622,0.120221864
2021-01-03 19:00:00,0.12,0.821418695,0.398812795,0.827972028,0.109292604
2021-01-03 20:00:00,0.11,0.835246128,0.354842256,0.836363636,0.098363343
2021-01-03 21:00:00,0.1,0.835246128,0.354842256,0.841958042,0.076504823
2021-01-03 22:00:00,0.08,0.835246128,0.310871716,0.830769231,0.065575562
2021-01-03 23:00:00,0.06,0.835246128,0.266901176,0.81958042,0.065575562
2021-01-04 00:00:00,0.04,0.835246128,0.222930636,0.808391608,0.054646302
2021-01-04 01:00:00,0.04,0.835246128,0.310871716,0.839160839,0.065575562
2021-01-04 02:00:00,0.05,0.821418695,0.354842256,0.867132867,0.065575562
2021-01-04 03:00:00,0.06,0.821418695,0.442783335,0.895104895,0.076504823
2021-01-04 04:00:00,0.06,0.821418695,0.442783335,0.813986014,0.087434083
2021-01-04 05:00:00,0.07,0.835246128,0.398812795,0.73006993,0.098363343
2021-01-04 06:00:00,0.08,0.835246128,0.398812795,0.646153846,0.120221864
2021-01-04 07:00:00,0.09,0.849073562,0.398812795,0.53986014,0.109292604
2021-01-04 08:00:00,0.1,0.849073562,0.398812795,0.430769231,0.109292604
2021-01-04 09:00:00,0.11,0.862900996,0.398812795,0.324475524,0.109292604
2021-01-04 10:00:00,0.12,0.862900996,0.442783335,0.523076923,0.109292604
2021-01-04 11:00:00,0.12,0.849073562,0.442783335,0.721678322,0.109292604
2021-01-04 12:00:00,0.13,0.849073562,0.486753875,0.92027972,0.120221864
2021-01-04 13:00:00,0.13,0.849073562,0.486753875,0.897902098,0.142080385
2021-01-04 14:00:00,0.13,0.835246128,0.486753875,0.875524476,0.163938905
2021-01-04 15:00:00,0.13,0.821418695,0.486753875,0.855944056,0.185797426
2021-01-04 16:00:00,0.12,0.821418695,0.442783335,0.86993007,0.185797426
2021-01-04 17:00:00,0.11,0.835246128,0.442783335,0.883916084,0.185797426
2021-01-04 18:00:00,0.11,0.835246128,0.442783335,0.897902098,0.174868166
2021-01-04 19:00:00,0.1,0.835246128,0.398812795,0.914685315,0.163938905
